"state_code","year","type","total","population","rate","name"
1,1997,"DOLOSOS",355,958126.25,37.0514846034121,"Aguascalientes"
2,1997,"DOLOSOS",492,2309713.41666667,21.3013439870841,"Baja California"
3,1997,"DOLOSOS",60,427224.25,14.0441466045057,"Baja California Sur"
4,1997,"DOLOSOS",130,659975.166666667,19.6977108482112,"Campeche"
5,1997,"DOLOSOS",175,2277888.75,7.68255253905618,"Coahuila de Zaragoza"
6,1997,"DOLOSOS",99,532195.666666667,18.6021807768697,"Colima"
7,1997,"DOLOSOS",1357,3910871.75,34.6981462636815,"Chiapas"
8,1997,"DOLOSOS",677,2813174.41666667,24.06534042074,"Chihuahua"
9,1997,"DOLOSOS",977,8895732.25,10.9827945866963,"Distrito Federal"
10,1997,"DOLOSOS",61,1473261.58333333,4.14047313050709,"Durango"
11,1997,"DOLOSOS",567,5035601.91666667,11.2598257245745,"Guanajuato"
12,1997,"DOLOSOS",1273,3188843.66666667,39.9204267461214,"Guerrero"
13,1997,"DOLOSOS",360,2344026.16666667,15.3581903273691,"Hidalgo"
14,1997,"DOLOSOS",600,6340460.08333333,9.46303568059947,"Jalisco"
15,1997,"DOLOSOS",3037,12165172,24.9647107332309,"Mexico"
16,1997,"DOLOSOS",757,4152429.75,18.2302903498849,"Michoacan de Ocampo"
17,1997,"DOLOSOS",178,1551420,11.4733598896495,"Morelos"
18,1997,"DOLOSOS",132,918518.916666667,14.3709615125872,"Nayarit"
19,1997,"DOLOSOS",163,3738124.58333333,4.36047532302015,"Nuevo Leon"
20,1997,"DOLOSOS",788,3597065.16666667,21.9067479594823,"Oaxaca"
21,1997,"DOLOSOS",729,5044953.58333333,14.4500833943913,"Puebla"
22,1997,"DOLOSOS",234,1466450.08333333,15.95690181749,"Queretaro"
23,1997,"DOLOSOS",335,826688.416666667,40.5231273652982,"Quintana Roo"
24,1997,"DOLOSOS",301,2353408.75,12.7899583954551,"San Luis Potosí"
25,1997,"DOLOSOS",669,2452443.83333333,27.2789121979892,"Sinaloa"
26,1997,"DOLOSOS",526,2162241.41666667,24.3266083031046,"Sonora"
27,1997,"DOLOSOS",353,1883807.75,18.7386425180595,"Tabasco"
28,1997,"DOLOSOS",473,2617976.58333333,18.0673884942757,"Tamaulipas"
29,1997,"DOLOSOS",63,954517.5,6.60019329137496,"Tlaxcala"
30,1997,"DOLOSOS",722,7129818,10.1264856971104,"Veracruz de Ignacio de la Llave"
31,1997,"DOLOSOS",110,1643108,6.69462993302936,"Yucatan"
32,1997,"DOLOSOS",113,1427823.41666667,7.91414391170337,"Zacatecas"
